match_minute	match_second	position_x	position_y	play_type	BodyPart	Number_Intervening_Opponents	Number_Intervening_Teammates	Interference_on_Shooter	outcome	position_xM	position_yM	position_xM_r	position_yM_r	position_xM_std	position_yM_std	position_xM_std_r	position_yM_std_r	BodyPartCode	Interference_on_Shooter_Code	distance_to_goalM	distance_to_centerM	angle	isFoot	isHead	header_distance_to_goalM	High	Low	Medium
44	21	11.22	-9.23	Open Play	Right	2	0	High	Missed	41.78	-9.251768867924527	-41.78	9.251768867924527	94.78	24.74823113207547	147.78	58.74823113207548	2	3	14.542476652396504	9.251768867924527	39.50825275983841	1	0	0.0	1	0	0
34	1	19.45	-3.74	Open Play	Left	3	1	High	Missed	33.55	-3.748820754716981	-33.55	3.748820754716981	86.55	30.25117924528302	139.55	64.25117924528303	1	3	19.807982154954527	3.748820754716981	10.909490016267377	1	0	0.0	1	0	0
55	22	21.7	-0.75	Open Play	Left	2	0	Low	Missed	31.3	-0.7517688679245282	-31.3	0.7517688679245282	84.3	33.248231132075475	137.3	67.24823113207547	1	1	21.71301813269589	0.7517688679245282	1.9841457940140657	1	0	0.0	0	1	0
81	30	7.48	12.22	Open Play	Left	1	0	High	Missed	45.52	12.248820754716984	-45.52	-12.248820754716984	98.52	46.24882075471698	151.51999999999998	80.24882075471697	1	3	14.352143041413209	12.248820754716984	58.58879656814722	1	0	0.0	1	0	0
87	12	19.95	16.71	Open Play	Right	2	1	Low	Missed	33.05	16.74941037735849	-33.05	-16.74941037735849	86.05	50.74941037735849	139.05	84.74941037735849	2	1	26.04890108985721	16.74941037735849	40.01579259700408	1	0	0.0	0	1	0
79	25	33.17	13.22	Open Play	Left	4	1	Low	Missed	19.83	13.251179245283016	-19.83	-13.251179245283016	72.83	47.25117924528302	125.83	81.25117924528303	1	1	35.71893967338084	13.251179245283016	21.7763575920144	1	0	0.0	0	1	0
19	32	26.19	7.98	Open Play	Right	4	1	Low	Saved	26.81	7.998820754716981	-26.81	-7.998820754716981	79.81	41.99882075471698	132.81	75.99882075471697	2	1	27.384251559355995	7.998820754716981	16.983461253638072	1	0	0.0	0	1	0
92	28	11.47	5.49	Open Play	Right	1	0	Medium	Saved	41.53	5.502948113207547	-41.53	-5.502948113207547	94.53	39.502948113207545	147.53	73.50294811320754	2	2	12.721766305692558	5.502948113207547	25.630238518677213	1	0	0.0	0	0	1
18	0	10.23	4.99	Open Play	Head	1	0	Low	Missed	42.77	5.001768867924528	-42.77	-5.001768867924528	95.77	39.001768867924525	148.76999999999998	73.00176886792453	3	1	11.387299583665088	5.001768867924528	26.0554640430446	0	1	11.387299583665088	0	1	0
68	1	13.72	3.99	Open Play	Left	3	0	Medium	Blocked	39.28	3.9994103773584895	-39.28	-3.9994103773584895	92.28	37.99941037735849	145.28	71.99941037735849	1	2	14.29103506980942	3.9994103773584895	16.251520605278195	1	0	0.0	0	0	1
4	15	3.99	-3.74	Open Play	Right	1	0	Low	Saved	49.01	-3.748820754716981	-49.01	3.748820754716981	102.01	30.25117924528302	155.01	64.25117924528303	2	1	5.474829408392266	3.748820754716981	43.21496295687108	1	0	0.0	0	1	0
68	30	4.74	-10.47	Open Play	Right	2	0	High	Blocked	48.26	-10.494693396226417	-48.26	10.494693396226417	101.26	23.505306603773583	154.26	57.50530660377358	2	3	11.515476085720396	10.494693396226417	65.69336008651804	1	0	0.0	1	0	0
47	17	3.99	6.48	Open Play	Head	5	2	High	Missed	49.01	6.495283018867925	-49.01	-6.495283018867925	102.01	40.49528301886792	155.01	74.49528301886792	3	3	7.622912927168593	6.495283018867925	58.43792921942084	0	1	7.622912927168593	1	0	0
80	58	12.47	-4.49	Open Play	Right	2	0	Low	Blocked	40.53	-4.500589622641509	-40.53	4.500589622641509	93.53	29.49941037735849	146.53	63.49941037735849	2	1	13.25730768110284	4.500589622641509	19.845190572738144	1	0	0.0	0	1	0
15	33	13.47	16.96	Open Play	Left	3	0	Low	GoalFrame	39.53	17.0	-39.53	-17.0	92.53	51.0	145.53	85.0	1	1	21.68964960528408	17.0	51.60835119834369	1	0	0.0	0	1	0
79	51	9.73	5.99	Open Play	Left	4	1	High	Blocked	43.27	6.004127358490566	-43.27	-6.004127358490566	96.27	40.00412735849056	149.26999999999998	74.00412735849056	1	3	11.433391681254298	6.004127358490566	31.677645208320687	1	0	0.0	1	0	0
96	14	25.44	9.98	Open Play	Left	3	0	Medium	Goal	27.56	10.003537735849056	-27.56	-10.003537735849056	80.56	44.00353773584906	133.56	78.00353773584905	1	2	27.3361366552144	10.003537735849056	21.465785440804737	1	0	0.0	0	0	1
74	26	43.39	-26.43	Open Play	Right	2	0	Low	Missed	9.61	-26.49233490566037	-9.61	26.49233490566037	62.61	7.507665094339625	115.61	41.50766509433963	2	1	50.83833109725054	26.49233490566037	31.406700867685885	1	0	0.0	0	1	0
